task_id,title,description,status,assignee,creator,created_at,updated_at,due_date,completed_at,priority,tags
101,Разработка REST API,Создать API endpoints для системы управления задачами,in_progress,@developer_alex,@manager_anna,,,,,high,"[""backend"", ""api"", ""priority""]"
102,Исправить критический баг,Ошибка при сохранении данных в CSV,done,@developer_alex,@admin_ivan,,,,,urgent,"[""bug"", ""critical"", ""hotfix""]"
103,Обновить документацию,Добавить новые API методы в документацию,todo,@developer_alex,@manager_anna,,,,,medium,"[""docs"", ""api""]"
104,да,помогите,in_progress,,@kulikova_alyona,,2025-12-16 07:33:55,2024-01-31,,high,
101,Разработка REST API,Создать API endpoints для системы управления задачами,in_progress,@developer_alex,@manager_anna,,,,,high,"[""backend"", ""api"", ""priority""]"
102,Исправить критический баг,Ошибка при сохранении данных в CSV,done,@developer_alex,@admin_ivan,,,,,urgent,"[""bug"", ""critical"", ""hotfix""]"
103,Обновить документацию,Добавить новые API методы в документацию,todo,@developer_alex,@manager_anna,,,,,medium,"[""docs"", ""api""]"
104,Дизайн лендинга продукта,Разработать макет главной страницы нового продукта,in_progress,@designer_nikolay,@pm_roman,2025-11-08,,2025-11-15,,high,"[""design"", ""ui"", ""landing""]"
105,Настройка CI/CD пайплайна,Автоматизация сборки и деплоя приложения,done,@devops_sergey,@admin_ivan,2025-11-09,,2025-11-17,,high,"[""devops"", ""ci/cd"", ""automation""]"
106,Тестирование платежного модуля,Провести интеграционное тестирование платежной системы,in_progress,@qa_ekaterina,@manager_pavel,2025-11-10,,2025-11-19,,high,"[""testing"", ""payment"", ""integration""]"
107,Анализ конкурентов,Исследование продуктов основных конкурентов на рынке,todo,@analyst_dmitry,@pm_roman,2025-11-11,,2025-11-21,,medium,"[""research"", ""analysis"", ""market""]"
108,Подготовка квартального отчета,Сбор данных и подготовка отчета за 3 квартал,in_progress,@finance_svetlana,@hr_elena,2025-11-12,,2025-11-23,,medium,"[""finance"", ""report"", ""quarterly""]"
109,Обновление базы данных клиентов,Миграция клиентской базы на новую версию CRM,todo,@sales_igor,@manager_anna,2025-11-13,,2025-11-25,,low,"[""crm"", ""migration"", ""sales""]"
110,Оптимизация скорости загрузки сайта,Улучшение показателей PageSpeed Insights,in_progress,@developer_maria,@manager_pavel,2025-11-14,,2025-11-27,,high,"[""performance"", ""optimization"", ""frontend""]"
111,Организация тимбилдинга,Планирование корпоративного мероприятия для сотрудников,todo,@hr_elena,@admin_ivan,2025-11-15,,2025-11-29,,low,"[""hr"", ""event"", ""team-building""]"
112,Разработка мобильного приложения,Создание iOS и Android версии приложения,in_progress,@developer_alex,@pm_roman,2025-11-16,,2025-12-01,,high,"[""mobile"", ""ios"", ""android"", ""development""]"
113,Кампания в социальных сетях,Запуск рекламной кампании в Facebook и Instagram,done,@marketing_irina,@manager_anna,2025-11-17,,2025-12-03,,medium,"[""marketing"", ""social"", ""campaign""]"
114,Обучение новых сотрудников,Проведение онбординга для новых разработчиков,in_progress,@developer_maria,@hr_elena,2025-11-18,,2025-12-05,,medium,"[""training"", ""onboarding"", ""education""]"
115,Рефакторинг legacy кода,Улучшение старого кода основной кодовой базы,todo,@developer_alex,@manager_pavel,2025-11-19,,2025-12-07,,medium,"[""refactoring"", ""legacy"", ""code-quality""]"
116,Мониторинг серверов,Настройка системы мониторинга и алертов,done,@devops_sergey,@admin_ivan,2025-11-20,,2025-12-09,,high,"[""monitoring"", ""servers"", ""devops""]"
117,Анализ пользовательского поведения,Исследование метрик пользовательского взаимодействия,in_progress,@data_mikhail,@analyst_dmitry,2025-11-21,,2025-12-11,,medium,"[""analytics"", ""user-behavior"", ""data""]"
118,Поддержка пользователей,Обработка обращений в службу поддержки,in_progress,@support_andrey,@manager_anna,2025-11-22,,2025-11-29,,medium,"[""support"", ""helpdesk"", ""users""]"
119,Презентация для инвесторов,Подготовка инвестиционного питча,todo,@pm_roman,@admin_ivan,2025-11-23,,2025-12-01,,high,"[""presentation"", ""investors"", ""pitch""]"
120,Обновление политики безопасности,Пересмотр и обновление политик информационной безопасности,in_progress,@admin_ivan,@hr_elena,2025-11-24,,2025-12-03,,high,"[""security"", ""policy"", ""compliance""]"
121,Тестирование новой функциональности,Регрессионное тестирование после релиза,done,@qa_ekaterina,@developer_maria,2025-11-25,,2025-12-05,,medium,"[""testing"", ""regression"", ""release""]"
122,Разработка системы нотификаций,Создание системы email и push уведомлений,in_progress,@developer_alex,@manager_pavel,2025-11-26,,2025-12-07,,medium,"[""notifications"", ""email"", ""backend""]"
123,Подбор кандидатов на позицию DevOps,Поиск и интервью кандидатов на DevOps позицию,todo,@hr_elena,@devops_sergey,2025-11-27,,2025-12-09,,high,"[""recruitment"", ""devops"", ""hr""]"
124,Анализ финансовых показателей,Расчет ROI и других финансовых метрик,in_progress,@finance_svetlana,@admin_ivan,2025-11-28,,2025-12-11,,medium,"[""finance"", ""roi"", ""analysis""]"
125,Интеграция с платежным шлюзом,Подключение нового платежного провайдера,todo,@developer_maria,@manager_anna,2025-11-29,,2025-12-13,,high,"[""integration"", ""payment"", ""api""]"
126,Контент для блога компании,Написание статей для корпоративного блога,in_progress,@marketing_irina,@pm_roman,2025-11-30,,2025-12-15,,low,"[""content"", ""blog"", ""marketing""]"
127,Резервное копирование данных,Настройка автоматического бэкапа баз данных,done,@devops_sergey,@admin_ivan,2025-12-01,,2025-12-17,,high,"[""backup"", ""database"", ""devops""]"
128,А/B тестирование лендинга,Тестирование двух версий посадочной страницы,in_progress,@analyst_dmitry,@designer_nikolay,2025-12-02,,2025-12-19,,medium,"[""a/b-testing"", ""analytics"", ""conversion""]"
129,Обновление библиотек зависимостей,Обновление версий всех npm пакетов,todo,@developer_alex,@manager_pavel,2025-12-03,,2025-12-21,,low,"[""dependencies"", ""npm"", ""maintenance""]"
130,Продажи ключевым клиентам,Переговоры с крупными B2B клиентами,in_progress,@sales_igor,@manager_anna,2025-12-04,,2025-12-23,,high,"[""sales"", ""b2b"", ""negotiation""]"
131,Дизайн иконок приложения,Создание набора иконок для UI,done,@designer_nikolay,@developer_maria,2025-12-05,,2025-12-25,,medium,"[""design"", ""icons"", ""ui""]"
132,Оптимизация SQL запросов,Улучшение производительности медленных запросов,in_progress,@developer_maria,@manager_pavel,2025-12-06,,2025-12-13,,medium,"[""sql"", ""optimization"", ""database""]"
133,Подготовка годового отчета,Сбор данных и подготовка годового отчета,todo,@finance_svetlana,@admin_ivan,2025-12-07,,2025-12-15,,high,"[""report"", ""annual"", ""finance""]"
134,Разработка дашборда аналитики,Создание панели управления с ключевыми метриками,in_progress,@data_mikhail,@analyst_dmitry,2025-12-08,,2025-12-17,,high,"[""dashboard"", ""analytics"", ""data-visualization""]"
135,Обновление серверного оборудования,Замена устаревших серверов в дата-центре,todo,@devops_sergey,@admin_ivan,2025-12-09,,2025-12-19,,high,"[""hardware"", ""servers"", ""infrastructure""]"
136,Создание видео-туториалов,Запись обучающих видео для новых пользователей,in_progress,@marketing_irina,@support_andrey,2025-12-10,,2025-12-21,,medium,"[""video"", ""tutorials"", ""education""]"
137,Аудит безопасности приложения,Проверка уязвимостей и безопасности кода,done,@developer_alex,@admin_ivan,2025-12-11,,2025-12-23,,high,"[""security"", ""audit"", ""vulnerability""]"
138,Планирование следующего спринта,Подготовка задач и оценка времени для спринта,todo,@manager_pavel,@pm_roman,2025-12-12,,2025-12-25,,medium,"[""sprint"", ""planning"", ""agile""]"
139,Тестирование на кросс-браузерность,Проверка работы сайта в разных браузерах,in_progress,@qa_ekaterina,@designer_nikolay,2025-12-13,,2025-12-27,,medium,"[""testing"", ""cross-browser"", ""compatibility""]"
140,Обновление лицензий ПО,Продление лицензий на программное обеспечение,todo,@admin_ivan,@hr_elena,2025-12-14,,2025-12-29,,low,"[""licenses"", ""software"", ""legal""]"
141,Разработка системы поиска,Создание полнотекстового поиска по базе данных,in_progress,@developer_maria,@manager_pavel,2025-12-15,,2025-12-31,,medium,"[""search"", ""elasticsearch"", ""backend""]"
142,Анализ рынка для нового продукта,Исследование потенциального рынка для нового продукта,done,@analyst_dmitry,@pm_roman,2025-12-16,,2026-01-02,,high,"[""market-research"", ""product"", ""analysis""]"
143,Настройка системы логирования,Внедрение централизованной системы логов,in_progress,@devops_sergey,@developer_alex,2025-12-17,,2026-01-04,,medium,"[""logging"", ""monitoring"", ""devops""]"
201,Аудит системы безопасности,Полный аудит информационной безопасности компании,in_progress,@kulikova_alyona,@admin_ivan,2025-11-11,,2025-11-21,,urgent,"[""security"", ""audit"", ""compliance"", ""admin""]"
202,Обновление политик доступа,Пересмотр и обновление политик доступа к системам,todo,@kulikova_alyona,@hr_elena,2025-11-12,,2025-11-23,,high,"[""access-control"", ""policies"", ""admin""]"
203,Координация с внешними аудиторами,Организация проверки внешними аудиторами,in_progress,@kulikova_alyona,@admin_ivan,2025-11-13,,2025-11-25,,high,"[""audit"", ""coordination"", ""external"", ""admin""]"
204,Подготовка отчетности для руководства,Анализ и подготовка отчетов по безопасности для совета директоров,todo,@kulikova_alyona,@hr_elena,2025-11-14,,2025-11-27,,medium,"[""reporting"", ""management"", ""security"", ""admin""]"
205,Обновление регламентов ИБ,Разработка новых регламентов информационной безопасности,in_progress,@kulikova_alyona,@admin_ivan,2025-11-15,,2025-11-29,,high,"[""regulations"", ""security"", ""documentation"", ""admin""]"
206,Проверка соответствия GDPR,Аудит соответствия требованиям GDPR,done,@kulikova_alyona,@hr_elena,2025-11-16,,2025-12-01,,urgent,"[""gdpr"", ""compliance"", ""privacy"", ""admin""]"
207,Инвентаризация активов,Полная инвентаризация информационных активов компании,in_progress,@kulikova_alyona,@admin_ivan,2025-11-17,,2025-12-03,,medium,"[""inventory"", ""assets"", ""security"", ""admin""]"
208,Обучение сотрудников безопасности,Организация тренингов по информационной безопасности,in_progress,@kulikova_alyona,@hr_elena,2025-11-18,2025-12-18 10:25:57,2025-12-05,,medium,"[""training"", ""security"", ""education"", ""admin""]"
209,Анализ инцидентов безопасности,Расследование и анализ последних инцидентов безопасности,in_progress,@kulikova_alyona,@admin_ivan,2025-11-19,,2025-12-07,,high,"[""incidents"", ""analysis"", ""security"", ""admin""]"
210,Планирование улучшений ИБ,Разработка плана улучшений системы безопасности на следующий год,todo,@kulikova_alyona,@hr_elena,2025-11-20,,2025-12-09,,medium,"[""planning"", ""improvements"", ""security"", ""admin""]"
211,sdfsfdsdf,ssffs,todo,,@kulikova_alyona,,,,,medium,
212,ылодывлаоыдвлоа,ываываываыва,todo,,@kulikova_alyona,,,,,medium,
213,ыва,ыва,todo,,@kulikova_alyona,,,,,medium,
214,тесетест,пропустить,todo,,@kulikova_alyona,,,,,medium,
